Código,Nombre
705,San Vicente y las Granadinas
710,Santa Elena
715,Santa Lucía
720,Santo Tomé y Príncipe
728,Senegal
729,Serbia
731,Seychelles
735,Sierra Leona
741,Singapur
744,"Siria, República Árabe de"
748,Somalia
750,Sri Lanka
756,"Sudáfrica, República de"
759,Sudán
760,Sudán del Sur
764,Suecia
767,Suiza
770,Surinam
772,Svalbard y Jan Mayen
773,Esuatini (Swazilandia)
774,Tayikistán
776,Tailandia
780,"Tanzania, República Unida de"
783,Yibuti
787,Territorio Británico del Océano Índico
788,Timor Oriental
800,Togo
805,Tokelau
810,Tonga
815,Trinidad y Tobago
820,Túnez
823,Islas Turcas y Caicos
825,Turkmenistán
827,Turquía
828,Tuvalu
830,Ucrania
833,Uganda
845,Uruguay
847,Uzbekistán
850,Venezuela
855,Vietnam
863,Islas Vírgenes Británicas
866,Islas Vírgenes de los Estados Unidos
870,Fiyi
875,Wallis y Futuna
880,Yemen
885,Yugoslavia (Serbia y Montenegro)
888,República Democrática del Congo
890,Zambia
897,Zona Neutral Palestina
999,No Declarado
1,ZFPE AGROINDUST
2,ZFP EL DORADO S
3,ZFPCA ECOPETROL
4,ZF CTIC-CENTRO
129,ZFP Zofrandina.
130,ZFPE Colmotores
131,ZFPE Tablemac S
132,ZFPE Fundación
133,ZFPE Aceites Ci
134,ZFPE Puerto Bri
135,ZFPE Clinica Ca
620,ZFPE Puerto Ind
621,ZFP INTERNACIO
622,ZFPE Fresenius
623,ZFPE Destilería
624,ZFPE Puerto Bah
625,ZFPE Medical DU
626,ZFPE Sociedad P
631,ZFP Palermo.
633,ZFP FEMSA
634,ZFPE SYKES.
635,ZFPE Sociedad P
636,ZFPE Termotasaj
637,ZFPE Sociedad P
638,ZFPE GETCOM.
650,ZFPE Centro Hos
651,ZFPE PUERTO MAM
652,ZFP INTERNACION
653,ZFPE AGROINDUST
655,ZFPE Plaza Mayo
656,ZFPE Clínica de
657,ZFPE Clínica Un
791,ZFPE Sociedad P
792,ZFP Repsol Expl
794,ZFPE Empresa Co
795,ZFPE Onelink Co
796,ZFPCA Petrobras
797,ZFPE Impala Ter
900,ZFP Andina.
902,ZFPE Gecelca 3.
903,ZFPE CEMENTERA
904,ZFPE Estractora
905,ZFPE Olmue.
907,ZFP Centro Log
911,ZFP de Barranqu
913,ZFP de Palmasec
914,ZFP de Cúcuta
915,ZFP de Santa Ma
916,ZFP de Cartagen
917,ZFP de Rionegro
918,ZFP de la Cande
919,ZFP de Bogotá
920,ZFP de Pacífico
924,ZFP Eje Cafeter
925,ZFPE Cervecería
926,ZFP Agroindustr
928,ZFP La Cayena
929,ZFP Internacion
930,ZFPE BIO D FACA
931,ZFPE Biocombust
933,ZFPE Agroindust
934,ZFP Parque Ind
935,ZFPE Argos S.A
936,ZFPE Gyplac S.A
937,ZFPE Kcag
939,ZFP Intexzona
940,ZFP Tayrona S.A
941,ZFP de Urabá S
942,ZFPE Corferias.
943,ZFP Las América
944,ZFPE Ecodiesel
945,ZFPE Estrategia
947,ZF PERMANENTE ESPECIAL SIEMENS.
948,ZFPE Pepsico Al
949,ZF PERMANENTE ESPECIAL ACERÍAS PAZ DEL RÍO
950,ZFPE de Servici
951,ZFPE Vidrio And
953,ZFPE Refinería
954,ZFP de Occident
955,ZFPE Sociedad P
956,ZFPE de Servici
957,ZFPE Colombina
958,ZFPE Termoflore
959,ZFPE Papelfibra
960,ZFP de Tocancip
961,ZFPE Telemark S
962,ZFPE San Vicent
963,ZFPE Cerámicas
964,ZFPE Papeles de
965,ZFPE Clínica Po
966,ZFP Santander
967,ZFPE Protisa
968,ZFPE Praxair
969,ZFPE Cencauca (
972,ZFPE Econtac
973,ZFPE Clínica lo
974,ZFP Metropolita
976,ZFPE Bioenergy
977,ZFP Puerta de l
979,ZFPE Productos
980,ZFPE Sociedad P
981,ZFPE Fundacion
982,ZFPE Alimentos
983,ZFPE Convergys
984,ZFPE Procesador
985,ZFP Internacion
987,ZFP Brisa
988,ZFPE Loma Fresc
989,ZFP Parque Cent
991,ZFP Conjunto In
996,ZFPE Compañía O
997,ZFP SurColombia
998,ZFPE Sociedad P
